subject,condition,block,procedure,trial,item,response,RT,time,correct,accuracy
24103002,ed_clothing,1,test,0,assets\ed_clothing\glove_1.png,0,,202.45,,
24103002,ed_clothing,1,test,1,assets\ed_clothing\glove_1.png,1,0.498,204.2,1.0,1.0
24103002,ed_clothing,1,test,2,assets\ed_clothing\lab_coat_2.png,0,,205.95,0.0,1.0
24103002,ed_clothing,1,test,3,assets\ed_clothing\lab_coat_2.png,1,0.386,207.68,1.0,1.0
24103002,ed_clothing,1,test,4,assets\ed_clothing\jumpsuit_2.png,0,,209.45,0.0,1.0
24103002,ed_clothing,1,test,5,assets\ed_clothing\robe_2.png,0,,211.46,0.0,1.0
24103002,ed_clothing,1,test,6,assets\ed_clothing\vest_1.png,0,,213.26,0.0,1.0
24103002,ed_clothing,1,test,7,assets\ed_clothing\leggings_3.png,0,,215.02,0.0,1.0
24103002,ed_clothing,1,test,8,assets\ed_clothing\blazer_1.png,0,,216.78,0.0,1.0
24103002,ed_clothing,1,test,9,assets\ed_clothing\corset_2.png,0,,218.62,0.0,1.0
24103002,ed_clothing,1,test,10,assets\ed_clothing\tube_top_3.png,0,,220.39,0.0,1.0
24103002,ed_clothing,1,test,11,assets\ed_clothing\jacket_1.png,0,,222.57,0.0,1.0
24103002,ed_clothing,1,test,12,assets\ed_clothing\jumpsuit_3.png,0,,224.7,0.0,1.0
24103002,ed_clothing,1,test,13,assets\ed_clothing\lab_coat_3.png,0,,226.47,0.0,1.0
24103002,ed_clothing,1,test,14,assets\ed_clothing\lab_coat_1.png,0,,228.22,0.0,1.0
24103002,ed_clothing,1,test,15,assets\ed_clothing\pajamas_1.png,0,,229.97,0.0,1.0
24103002,ed_clothing,1,test,16,assets\ed_clothing\cloak_1.png,0,,231.72,0.0,1.0
24103002,ed_clothing,1,test,17,assets\ed_clothing\jacket_3.png,0,,233.47,0.0,1.0
24103002,ed_clothing,1,test,18,assets\ed_clothing\glove_3.png,0,,235.38,0.0,1.0
24103002,ed_clothing,1,test,19,assets\ed_clothing\polo_shirt_2.png,0,,237.13,0.0,1.0
24103002,ed_clothing,1,test,20,assets\ed_clothing\jacket_2.png,0,,238.94,0.0,1.0
